Product URL,Product Name,Product Price,Rating,Number of Reviews,Description,ASIN,Product Description,Manufacturer
https://www.amazon.in/House-Quirk-Maternity-Backpack-Elephant/dp/B07QV7SH4S/ref=sr_1_109?crid=2M096C61O4MLT&keywords=bags&qid=1692632517&sprefix=ba%252Caps%252C283&sr=8-109,N/A,"₹1,448",4.2,"3,938",N/A,N/A,N/A,N/A
https://www.amazon.in/Gear-Universe-Resistant-Backpack-Daypack/dp/B0BZWLBDV3/ref=sr_1_110?crid=2M096C61O4MLT&keywords=bags&qid=1692632517&sprefix=ba%252Caps%252C283&sr=8-110,N/A,"₹1,095",3.7,31,N/A,N/A,N/A,N/A
https://www.amazon.in/F-Gear-String-Polyester-33-cms-Black-Drawstring-Gym-Bag/dp/B07PC28YQ9/ref=sr_1_111?crid=2M096C61O4MLT&keywords=bags&qid=1692632517&sprefix=ba%252Caps%252C283&sr=8-111,N/A,₹190,4.0,591,N/A,N/A,N/A,N/A
https://www.amazon.in/Gear-Training-Travel-Duffel-DUFCRSTNG4314/dp/B098FG3GVX/ref=sr_1_112?crid=2M096C61O4MLT&keywords=bags&qid=1692632517&sprefix=ba%252Caps%252C283&sr=8-112,N/A,₹478,4.1,561,N/A,N/A,N/A,N/A
https://www.amazon.inhttps://aax-eu.amazon.in/x/c/RBfbsfbU0wVoevt-uSPlXQoAAAGKGMKMOwMAAAH2AQBvbm9fdHhuX2JpZDMgICBvbm9fdHhuX2ltcDEgICAtamib/https://www.amazon.in/dp/B09QL66G55?pd_rd_i=B09QL66G55&pf_rd_p=880c6186-3832-495e-9caa-7ecfb2f5e88c&pf_rd_r=FD4ZBKC6QN9X6QAV3SQV&pd_rd_wg=spZZO&pd_rd_w=Nq1SL&pd_rd_r=f8135339-cd77-4940-9044-f5475de67528,N/A,₹599,4.0,"1,609"
https://www.amazon.in/s/?k=bags+for+girls&ref=sugsr_0&pd_rd_w=bvOQw&content-id=amzn1.sym.f0166a2b-0975-4017-be10-7ecf88afb403:amzn1.sym.f0166a2b-0975-4017-be10-7ecf88afb403&pf_rd_p=f0166a2b-0975-4017-be10-7ecf88afb403&pf_rd_r=FD4ZBKC6QN9X6QAV3SQV&pd_rd_wg=spZZO&pd_rd_r=f8135339-cd77-4940-9044-f5475de67528&qid=1692632517,N/A,N/A,N/A,"
                                                    bags for girls
                                                ",N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A,N/A
https://www.amazon.inhttps://aax-eu.amazon.in/x/c/RG7o4tkqmGxcmHqNF-AmK3sAAAGKGMKNaAMAAAH2AQBvbm9fdHhuX2JpZDIgICBvbm9fdHhuX2ltcDEgICA4T6y0/https://www.amazon.in/stores/page/423336D6-E5A2-4A82-94A4-1BFE27DB8491/?_encoding=UTF8&store_ref=SB_A09138173D9TZ2WIMTWBE&pd_rd_plhdr=t&aaxitk=a16b04afae11576bf3b61a16b31e4e4f&hsa_cr_id=0&lp_asins=B07QHLBBPM&lp_query=bags&lp_slot=desktop-hsa-3psl&ref_=sbx_be_s_3psl_mbd_mb0_bkgd&pd_rd_w=HAwdv&content-id=amzn1.sym.f1a4d09d-a292-48da-a86f-03294c9a41ef%3Aamzn1.sym.f1a4d09d-a292-48da-a86f-03294c9a41ef&pf_rd_p=f1a4d09d-a292-48da-a86f-03294c9a41ef&pf_rd_r=FD4ZBKC6QN9X6QAV3SQV&pd_rd_wg=8OKIp&pd_rd_r=73612bb2-a761-487c-89cf-3ca859367de5,N/A,N/A,N/A,Wide Range Of Backpacks For Women And Girls
https://www.amazon.in/gp/help/customer/display.html?nodeId=201889520,N/A,N/A,N/A, or ,N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A,N/A
https://www.amazon.inhttps://aax-eu.amazon.in/x/c/RPsn2MyZ_rAMp-MvYUs51iQAAAGKGMKheQMAAAH2AQBvbm9fdHhuX2JpZDIgICBvbm9fdHhuX2ltcDEgICCrYsMO/https://www.amazon.in/stores/page/BCF7AA48-B792-49F6-898D-ADEB25ED5FB6/?_encoding=UTF8&store_ref=SB_A02461542TLCACOY1JF7G&pd_rd_plhdr=t&aaxitk=532b18fd49c2772424529cf6898e459d&hsa_cr_id=6408141620802&lp_asins=B097L4GWB3%2CB07FZN5K3N&lp_query=bags&lp_slot=auto-sparkle-hsa-tetris&ref_=sbx_be_s_sparkle_lsi4d_bkgd&pd_rd_w=z1h6L&content-id=amzn1.sym.bc0e77cc-908d-4121-87d3-b355b997dda7%3Aamzn1.sym.bc0e77cc-908d-4121-87d3-b355b997dda7&pf_rd_p=bc0e77cc-908d-4121-87d3-b355b997dda7&pf_rd_r=D52S7DXNMZNXPK10MVC1&pd_rd_wg=OwfhK&pd_rd_r=24e7ebcd-d776-43d3-98be-772022c987ad,N/A,"₹2,009.00",N/A,N/A
N/A,N/A,N/A,N/A,Price and other details may vary based on product size and colour.
https://www.amazon.in/Genie-Flamenco2-Backpack-Compatible-Resistant/dp/B08YF1XJXY/ref=sr_1_177?crid=2M096C61O4MLT&keywords=bags&qid=1692632523&sprefix=ba%252Caps%252C283&sr=8-177,N/A,₹803,4.4,"1,151",N/A,N/A,N/A,N/A
https://www.amazon.in/Genie-Sunshine-Green-Latest-Collection/dp/B08912T17F/ref=sr_1_178?crid=2M096C61O4MLT&keywords=bags&qid=1692632523&sprefix=ba%252Caps%252C283&sr=8-178,N/A,"₹1,409",4.2,152,N/A,N/A,N/A,N/A
